,NO.,CLUSTERED,ACTUAL,RECEPTION DATETIME
15,466,22470018,524,09-May-2022 19:11:03
16,467,1190001,553,09-May-2022 19:11:04
17,468,42100001,461,09-May-2022 19:11:04
18,469,62100035,423,09-May-2022 19:11:04
19,470,41020017,406,09-May-2022 19:11:05
20,471,1260012,213,09-May-2022 19:11:06
21,472,72250009,578,09-May-2022 19:11:06
22,473,27030019,409,09-May-2022 19:11:06
23,474,45210048,451,09-May-2022 19:11:06
24,475,13140041,626,09-May-2022 19:11:06
25,476,49030297,534,09-May-2022 19:11:07
26,477,83160031,253,09-May-2022 19:11:07
27,478,31060004,437,09-May-2022 19:11:08
28,479,47110013,492,09-May-2022 19:11:08
29,480,29120016,480,09-May-2022 19:11:09
30,481,73070017,357,09-May-2022 19:11:09
31,482,33030031,196,09-May-2022 19:11:09
32,483,45080016,696,09-May-2022 19:11:09
33,484,69060001,573,09-May-2022 19:11:09
34,485,33170009,535,09-May-2022 19:11:10
35,486,12300065,84,09-May-2022 19:11:10
36,487,33160004,499,09-May-2022 19:11:11
37,488,26230017,188,09-May-2022 19:11:12
38,489,29280002,443,09-May-2022 19:11:12
39,490,14110002,601,09-May-2022 19:11:13
40,491,44070016,155,09-May-2022 19:11:13
41,492,10170045,430,09-May-2022 19:11:13
42,493,83060007,329,09-May-2022 19:11:13
43,494,30090032,535,09-May-2022 19:11:13
44,495,1010006,640,09-May-2022 19:11:15
45,496,12210015,367,09-May-2022 19:11:15
46,497,28210025,390,09-May-2022 19:11:15
47,498,55440087,490,09-May-2022 19:11:15
48,499,55320120,553,09-May-2022 19:11:15
49,500,69020004,617,09-May-2022 19:11:16
0,501,37020060,382,09-May-2022 19:11:16
1,502,6080025,448,09-May-2022 19:11:18
2,503,15160010,414,09-May-2022 19:11:18
3,504,15260006,354,09-May-2022 19:11:18
4,505,62150002,355,09-May-2022 19:11:18
5,506,38050039,313,09-May-2022 19:11:19
6,507,13170053,558,09-May-2022 19:11:19
7,508,12290022,489,09-May-2022 19:11:20
8,509,69060057,671,09-May-2022 19:11:20
9,510,22520033,527,09-May-2022 19:11:21
10,511,55320123,534,09-May-2022 19:11:21
11,512,29030029,408,09-May-2022 19:11:21
12,513,37280014,182,09-May-2022 19:11:21
13,514,22190040,451,09-May-2022 19:11:21
14,515,40010065,146,09-May-2022 19:11:22
15,516,72020055,96,09-May-2022 19:11:23
16,517,47010008,474,09-May-2022 19:11:23
17,518,72200041,264,09-May-2022 19:11:24
18,519,47120147,549,09-May-2022 19:11:24
19,520,61030025,473,09-May-2022 19:11:24
20,521,29020014,83,09-May-2022 19:11:25
21,522,60030013,524,09-May-2022 19:11:25
22,523,62160062,501,09-May-2022 19:11:25
